Code2016,Code2021
ES52,ES52
ES63,ES63
ES64,ES64
NO02,NO02
NO05,NO0A
BE100,BE100
BE221,BE224
BE222,BE225
BE321,BE32A
BE322,BE32B
BE325,BE32C
BE326,BE32D
EE006,EE009
EE007,EE00A
EL421,EL421
HR041,HR050
HR046,HR061
HR044,HR062
HR045,HR063
HR043,HR064
HR042,HR065
HR047,HR021
HR048,HR022
HR049,HR023
HR04A,HR024
HR04B,HR025
HR04C,HR026
HR04D,HR027
HR04E,HR028
ITG26,ITG2E
ITG27,ITG2F
ITG28,ITG2G
UKK21,UKK24
UKK22,UKK25
UKN10,UKN0A
UKN11,UKN0B
UKN12,UKN0C
UKN13,UKN0D
UKN14,UKN0E
UKN15,UKN0F
UKN16,UKN0G
NO011,NO081
NO043,NO0A1
NO053,NO0A3
HR041,HR05
NONE,NO08
NONE,NO09
NONE,NO0B
NONE,BE329
NONE,ITG2H
NONE,NO0B1
NONE,NO0B2
